Families	N_species
Pseudoglyptodontidae	0
Pseudorhyncocyonidae	0
Pseudosciuridae	0
Pteropodidae	197
Ptilodontidae	0
Ptolemaiidae	0
Pucadelphydae	0
Purgatoriidae	0
Pyrotheriidae	0
Raoellidae	0
Reithroparamyidae	0
Remingtonocetidae	0
Remyidae	0
Rhinocerotidae	11
Rhinolophidae	104
Rhinopomatidae	6
Rhombomylidae	0
Rhynchocyonidae	0
Robiacinidae	0
Rosendolopidae	0
Saadaniidae	0
Sanitheriidae	0
Sarcodontidae	0
Saxonellidae	0
Sciuravidae	0
Sciuridae	306
Shuotheriidae	0
Sillustaniidae	0
Simimyidae	0
Simocetidae	0
Siphneidae	0
Sivaladapidae	0
Sloanbaataridae	0
Solenodontidae	3
Soricidae	451
Spalacidae	29
Spalacotheriidae	0
Sparnotheriodontidae	0
Squalodelphinidae	0
Squalodontidae	0
Squaloziphiidae	0
Stagodontidae	0
Stegodontidae	0
Sternbergiidae	0
Strenulagidae	0
Stylinodontidae	0
Sudamericidae	0
Suidae	40
Tachyglossidae	6
Taeniolabididae	0
Talpidae	60
Tamquammyidae	0
Tanzanycterididae	0
Tapiridae	13
Tarsiidae	13
Tayassuidae	12
Tenrecidae	31
Thereuodontidae	0
Theridomyidae	0
Thryonomyidae	2
Thylacinidae	2
Thylacoleonidae	1
Thylacomyidae	2
Thylacosmilidae	0
Thyropteridae	5
Tinodontidae	0
Titanohyracidae	0
Titanoideidae	0
Todralestidae	0
Toliapinidae	0
Toxodontidae	5
Tragulidae	10
Tranatocetidae	0
Trichechidae	3
Triconodontidae	0
Trigonostylopidae	0
Triisodontidae	0
Tupaiidae	23
Typotheriidae	0
Uintatheriidae	0
Ursidae	21
Vespertilionidae	502
Victoriapithecidae	0
Vincelestidae	0
Viverravidae	0
Viverridae	37
Vombatidae	4
Waipatiidae	0
Woodburnodontidae	0
Wynyardiidae	0
Xenorophidae	0
Xiphodontidae	0
Yalkaparidontidae	0
Yaralidae	0
Yuesthonychidae	0
Yuomyidae	0
Zalambdalestidae	0
Zapodidae	17
Zegdoumyidae	0
Zelomyidae	0
Zetamyidae	0
Zhangheotheriidae	0
Zhelestidae	0
Ziphiidae	24
Zofiabaataridae	0
